-37534.58	7
-37414.56	2
-37295.11	6
-37176.24	-11
-37057.95	42
-36940.22	-28
-36823.05	60
-36706.45	84
-36590.4	37
-36474.9	66
-36359.95	30
-36245.55	29
-36131.68	-21
-36018.35	51
-35905.55	61
-35793.29	13
-35681.54	-12
-35570.32	19
-35459.62	51
-35349.43	68
-35239.75	12
-35130.58	-10
-35021.91	45
-34913.74	71
-34806.07	95
-34698.89	50
-34592.2	62
-34486	12
-34380.28	39
-34275.04	60
-34170.27	32
-34065.98	-16
-33962.16	100
-33858.81	49
-33755.92	78
-33653.49	24
-33551.52	53
-33450.01	13
-33348.94	30
-33248.33	16
-33148.16	38
-33048.43	117
-32949.14	27
-32850.29	33
-32751.87	72
-32653.89	58
-32556.33	89
-32459.2	59
-32362.49	46
-32266.19	35
-32170.32	-24
-32074.86	107
-31979.82	80
-31885.18	32
-31790.95	37
-31697.12	31
-31603.69	-17
-31510.67	0
-31418.04	61
-31325.8	24
-31233.95	39
-31142.49	22
-31051.42	74
-30960.73	68
-30870.43	97
-30780.5	42
-30690.95	45
-30601.77	49
-30512.97	104
-30424.53	31
-30336.46	65
-30248.76	37
-30161.42	44
-30074.44	54
-29987.81	77
-29901.55	110
-29815.63	94
-29730.07	28
-29644.86	17
-29560	16
-29475.48	54
-29391.3	-21
-29307.47	98
-29223.97	107
-29140.81	28
-29057.99	102
-28975.5	43
-28893.34	61
-28811.51	33
-28730	62
-28648.82	73
-28567.97	18
-28487.43	109
-28407.21	75
-28327.32	-5
-28247.73	71
-28168.46	53
-28089.5	77
-28010.85	40
-27932.51	44
-27854.48	18
-27776.75	106
-27699.32	38
-27622.19	74
-27545.37	27
-27468.84	44
-27392.6	67
-27316.66	39
-27241.01	26
-27165.66	101
-27090.59	13
-27015.81	12
-26941.31	-11
-26867.1	40
-26793.17	58
-26719.52	16
-26646.15	47
-26573.06	13
-26500.24	29
-26427.7	55
-26355.43	43
-26283.43	1
-26211.71	63
-26140.25	96
-26069.06	-29
-25998.13	29
-25927.46	35
-25857.06	58
-25786.92	28
-25717.04	-5
-25647.42	37
-25578.05	52
-25508.94	158
-25440.09	25
-25371.48	82
-25303.13	-50
-25235.02	56
-25167.17	59
-25099.56	41
-25032.19	48
-24965.07	0
-24898.2	36
-24831.56	51
-24765.17	98
-24699.01	59
-24633.1	31
-24567.41	-2
-24501.97	61
-24436.75	3
-24371.77	63
-24307.03	32
-24242.51	73
-24178.22	103
-24114.16	41
-24050.32	42
-23986.71	-5
-23923.32	63
-23860.16	34
-23797.22	85
-23734.5	62
-23672	69
-23609.71	55
-23547.65	46
-23485.8	28
-23424.16	59
-23362.74	99
-23301.53	45
-23240.54	52
-23179.75	34
-23119.17	51
-23058.8	39
-22998.64	34
-22938.68	54
-22878.93	76
-22819.39	45
-22760.04	95
-22700.9	129
-22641.96	69
-22583.22	77
-22524.68	47
-22466.33	67
-22408.19	46
-22350.23	-34
-22292.48	83
-22234.92	-13
-22177.55	98
-22120.37	43
-22063.38	7
-22006.58	31
