-37534.58	-1
-37414.56	1
-37295.11	-4
-37176.24	1
-37057.95	48
-36940.22	-10
-36823.05	66
-36706.45	-53
-36590.4	82
-36474.9	31
-36359.95	50
-36245.55	77
-36131.68	111
-36018.35	102
-35905.55	86
-35793.29	62
-35681.54	-80
-35570.32	9
-35459.62	-29
-35349.43	-43
-35239.75	48
-35130.58	-13
-35021.91	44
-34913.74	28
-34806.07	-79
-34698.89	98
-34592.2	115
-34486	116
-34380.28	47
-34275.04	66
-34170.27	-84
-34065.98	7
-33962.16	73
-33858.81	84
-33755.92	73
-33653.49	12
-33551.52	98
-33450.01	85
-33348.94	-3
-33248.33	30
-33148.16	120
-33048.43	-13
-32949.14	117
-32850.29	20
-32751.87	36
-32653.89	65
-32556.33	-25
-32459.2	-40
-32362.49	81
-32266.19	-14
-32170.32	162
-32074.86	55
-31979.82	23
-31885.18	53
-31790.95	197
-31697.12	65
-31603.69	105
-31510.67	57
-31418.04	96
-31325.8	119
-31233.95	89
-31142.49	129
-31051.42	-6
-30960.73	40
-30870.43	107
-30780.5	37
-30690.95	222
-30601.77	122
-30512.97	14
-30424.53	137
-30336.46	84
-30248.76	79
-30161.42	27
-30074.44	99
-29987.81	156
-29901.55	-94
-29815.63	143
-29730.07	127
-29644.86	70
-29560	-65
-29475.48	-53
-29391.3	101
-29307.47	62
-29223.97	96
-29140.81	122
-29057.99	112
-28975.5	31
-28893.34	20
-28811.51	17
-28730	86
-28648.82	164
-28567.97	2
-28487.43	82
-28407.21	33
-28327.32	113
-28247.73	-69
-28168.46	42
-28089.5	-12
-28010.85	40
-27932.51	4
-27854.48	0
-27776.75	78
-27699.32	27
-27622.19	97
-27545.37	17
-27468.84	85
-27392.6	-37
-27316.66	71
-27241.01	100
-27165.66	-15
-27090.59	-2
-27015.81	80
-26941.31	90
-26867.1	-4
-26793.17	211
-26719.52	-48
-26646.15	212
-26573.06	64
-26500.24	53
-26427.7	-1
-26355.43	-4
-26283.43	78
-26211.71	-10
-26140.25	115
-26069.06	19
-25998.13	71
-25927.46	-22
-25857.06	85
-25786.92	32
-25717.04	-7
-25647.42	-26
-25578.05	-63
-25508.94	-38
-25440.09	47
-25371.48	85
-25303.13	119
