-37534.58	-8
-37414.56	0
-37295.11	2
-37176.24	0
-37057.95	-6
-36940.22	92
-36823.05	-16
-36706.45	-14
-36590.4	52
-36474.9	-87
-36359.95	-64
-36245.55	101
-36131.68	27
-36018.35	-101
-35905.55	3
-35793.29	78
-35681.54	105
-35570.32	39
-35459.62	-92
-35349.43	10
-35239.75	25
-35130.58	-50
-35021.91	30
-34913.74	36
-34806.07	-156
-34698.89	-50
-34592.2	-114
-34486	102
-34380.28	45
-34275.04	-4
-34170.27	43
-34065.98	-33
-33962.16	-3
-33858.81	40
-33755.92	92
-33653.49	46
-33551.52	53
-33450.01	-25
-33348.94	-27
-33248.33	17
-33148.16	66
-33048.43	80
-32949.14	101
-32850.29	22
-32751.87	-74
-32653.89	-67
-32556.33	-127
-32459.2	58
-32362.49	-38
-32266.19	13
-32170.32	2
-32074.86	23
-31979.82	14
-31885.18	101
-31790.95	-116
-31697.12	-64
-31603.69	-85
-31510.67	-10
-31418.04	27
-31325.8	-79
-31233.95	31
-31142.49	-50
-31051.42	21
-30960.73	93
-30870.43	-63
-30780.5	-58
-30690.95	26
-30601.77	10
-30512.97	-51
-30424.53	-51
-30336.46	37
-30248.76	191
-30161.42	-18
-30074.44	-41
-29987.81	-22
-29901.55	-66
-29815.63	-49
-29730.07	94
-29644.86	-104
-29560	-50
-29475.48	112
-29391.3	-69
-29307.47	-23
-29223.97	73
-29140.81	-55
-29057.99	84
-28975.5	-19
-28893.34	6
-28811.51	71
-28730	28
-28648.82	6
-28567.97	-16
-28487.43	-79
-28407.21	-37
-28327.32	-76
-28247.73	61
-28168.46	-89
-28089.5	-23
-28010.85	28
-27932.51	-83
-27854.48	34
-27776.75	-72
-27699.32	-81
-27622.19	33
-27545.37	43
-27468.84	57
-27392.6	-50
-27316.66	-53
-27241.01	-14
-27165.66	-96
-27090.59	65
-27015.81	-135
-26941.31	-61
-26867.1	89
-26793.17	45
-26719.52	-16
-26646.15	-17
-26573.06	8
-26500.24	17
-26427.7	-14
-26355.43	31
-26283.43	-82
-26211.71	0
-26140.25	-2
-26069.06	-72
-25998.13	-7
-25927.46	-100
-25857.06	-3
-25786.92	5
-25717.04	98
-25647.42	21
-25578.05	4
-25508.94	17
-25440.09	-16
-25371.48	-15
-25303.13	26
-25235.02	-26
-25167.17	-36
-25099.56	0
-25032.19	26
