-37534.58	5
-37414.56	1
-37295.11	0
-37176.24	2
-37057.95	-38
-36940.22	-27
-36823.05	4
-36706.45	2
-36590.4	-16
-36474.9	-26
-36359.95	23
-36245.55	-3
-36131.68	12
-36018.35	-15
-35905.55	54
-35793.29	17
-35681.54	-69
-35570.32	47
-35459.62	-56
-35349.43	17
-35239.75	-16
-35130.58	-20
-35021.91	-51
-34913.74	-23
-34806.07	-23
-34698.89	-7
-34592.2	-18
-34486	21
-34380.28	-35
-34275.04	15
-34170.27	45
-34065.98	-43
-33962.16	13
-33858.81	30
-33755.92	41
-33653.49	-13
-33551.52	2
-33450.01	38
-33348.94	92
-33248.33	-42
-33148.16	-58
-33048.43	-37
-32949.14	-14
-32850.29	-47
-32751.87	-25
-32653.89	-19
-32556.33	48
-32459.2	-34
-32362.49	-6
-32266.19	-49
-32170.32	-10
-32074.86	-26
-31979.82	-32
-31885.18	-1
-31790.95	-51
-31697.12	-68
-31603.69	49
-31510.67	-4
-31418.04	-27
-31325.8	-13
-31233.95	-56
-31142.49	-28
-31051.42	-12
-30960.73	-10
-30870.43	71
-30780.5	55
-30690.95	52
-30601.77	31
-30512.97	-103
-30424.53	17
-30336.46	12
-30248.76	38
-30161.42	59
-30074.44	-22
-29987.81	25
-29901.55	-13
-29815.63	-19
-29730.07	7
-29644.86	-23
-29560	33
-29475.48	-60
-29391.3	-73
-29307.47	-10
-29223.97	52
-29140.81	67
-29057.99	-56
-28975.5	-3
-28893.34	21
-28811.51	-53
-28730	0
-28648.82	-41
-28567.97	59
-28487.43	5
-28407.21	28
-28327.32	-53
-28247.73	18
-28168.46	23
-28089.5	23
-28010.85	-102
-27932.51	36
-27854.48	-130
-27776.75	10
-27699.32	-43
-27622.19	40
-27545.37	-46
-27468.84	-41
-27392.6	-24
-27316.66	77
-27241.01	-22
-27165.66	-9
-27090.59	-42
-27015.81	34
-26941.31	-40
-26867.1	-33
-26793.17	79
-26719.52	-54
-26646.15	79
-26573.06	-14
-26500.24	25
-26427.7	-32
-26355.43	-37
-26283.43	3
-26211.71	38
-26140.25	-15
-26069.06	-36
-25998.13	-32
-25927.46	4
-25857.06	-1
-25786.92	-40
-25717.04	-4
-25647.42	-26
-25578.05	6
-25508.94	-17
-25440.09	-8
-25371.48	-32
-25303.13	-38
-25235.02	-26
-25167.17	-30
-25099.56	13
-25032.19	27
-24965.07	-23
-24898.2	-33
-24831.56	-39
-24765.17	56
-24699.01	11
-24633.1	22
-24567.41	-24
-24501.97	-32
-24436.75	-53
-24371.77	-14
-24307.03	-2
-24242.51	-57
-24178.22	-1
-24114.16	-28
-24050.32	-34
-23986.71	-10
-23923.32	-6
-23860.16	13
-23797.22	18
-23734.5	-68
-23672	-91
-23609.71	49
-23547.65	-13
-23485.8	3
-23424.16	12
-23362.74	25
-23301.53	34
-23240.54	34
-23179.75	-42
